type,faa_weight_class,recat_weight_class,engine_type
L29A,L,E,J
L29B,L,E,J
L37,S,F,P
L380,S,F,P
L39,S,F,J
L4,S,F,P
L40,S,F,P
L410,S,F,T
L5,S,F,P
L59,S,F,J
L6,S,F,P
L60,S,F,P
L610,S,F,T
L70,S,F,P
L8,S,F,P
L90,S,F,T
LA25,S,F,P
LA4,S,F,P
LA60,S,F,P
LA6T,S,F,T
LA8,S,F,P
LACO,S,F,P
LAKR,S,F,P
LAKX,S,F,P
LAMA,S,F,T
LANC,L,D,P
LARK,S,F,P
LAST,S,F,P
LBUG,S,F,P
LCA,S,F,J
LCB,S,F,P
LCH,S,F,T
LCR,S,F,P
LEG2,S,F,P
LEGD,S,F,P
LEOP,S,F,J
LESP,S,F,P
LEVI,S,F,P
LGEZ,S,F,P
LH10,S,F,P
LIBE,S,F,P
LION,S,F,P
LJ23,S,F,J
LJ24,S,F,J
LJ25,S,F,J
LJ28,S,F,J
LJ31,S,F,J
LJ35,S,F,J
LJ40,S,F,J
LJ45,S,F,J
LJ55,S,F,J
LJ60,S,F,J
LJ70,S,F,J
LJ75,S,F,J
LJ85,S,F,J
LK17,S,F,P
LK19,S,F,P
LK20,S,F,P
LM5,S,F,P
LM5X,S,F,P
LM7,S,F,P
LMK1,S,F,P
LN27,S,F,P
LN3,S,F,P
LNC2,S,F,P
LNC4,S,F,P
LNCE,S,F,P
LNP4,S,F,T
LNT4,S,F,T
LOCA,S,F,P
LOVE,S,F,P
LP1,S,F,P
LR2T,S,F,T
LS10,S,F,P
LS2,S,F,P
LS8,S,F,P
LS9,S,F,P
LSTR,S,F,P
LTNG,L,E,J
LUL5,S,F,P
LUL6,S,F,P
LUL7,S,F,P
LUL8,S,F,P
LV51,S,F,P
LW20,S,F,P
LW40,S,F,P
LWIN,S,F,P
LX32,S,F,P
LX34,S,F,P
LYNX,S,F,T
LYSA,S,F,P
M10,S,F,P
M101,S,F,T
M106,S,F,P
M108,S,F,P
M10F,S,F,P
M10R,S,F,P
M110,S,F,P
M15,S,F,J
M17,L,D,J
M18,S,F,P
M18T,S,F,T
M1SC,S,F,P
M2,S,F,P
M200,S,F,P
M203,S,F,P
M20P,S,F,P
M20T,S,F,P
M21,S,F,P
M212,S,F,P
M22,S,F,P
M24,S,F,P
M26,S,F,P
M28,S,F,T
M2HK,S,F,P
M308,S,F,P
M326,S,F,J
M339,S,F,J
M345,S,F,J
M346,S,F,J
M360,S,F,P
M4,S,F,P
M404,L,D,P
M5,S,F,P
M55,L,D,J
M6,S,F,P
M600,S,F,T
M7,S,F,P
M74,S,F,P
M7T,S,F,T
M8,S,F,P
M9,S,F,P
MA1,S,F,P
MA5,S,F,P
MA60,L,D,T
MA6H,L,D,T
MAGC,S,F,P
MAGI,S,F,P
MAGN,S,F,P
MAJR,S,F,P
MAKO,S,F,P
MAMB,S,F,P
MAME,S,F,P
MARS,L,D,P
MAVR,S,F,P
MC10,S,F,P
MC23,L,D,J
MC45,S,F,P
MC90,S,F,P
MCOU,S,F,P
MCOY,S,F,P
MCR1,S,F,P
MCR4,S,F,P
MCRR,S,F,P
MCUL,S,F,P
MD11,H,C,J
MD3,S,F,P
MD3R,S,F,P
MD52,S,F,T
MD60,S,F,T
MD81,L,D,J
MD82,L,D,J
MD83,L,D,J
MD87,L,D,J
MD88,L,D,J
MD90,L,D,J
ME08,S,F,P
ME09,S,F,P
ME62,S,F,J
MEAD,S,F,P
MEL2,S,F,P
MERK,S,F,P
MESS,S,F,P
METR,S,F,J
MEXP,S,F,P
MF10,S,F,P
MF17,S,F,P
MG15,S,F,J
MG17,S,F,J
MG19,S,F,J
MG21,S,F,J
MG23,S,F,J
MG25,L,E,J
MG29,L,E,J
MG31,L,E,J
MG44,L,E,J
MGAT,S,F,J
MGIC,S,F,P
MGNM,S,F,P
MH02,S,F,J
MH20,S,F,T
MH46,S,F,P
MI10,L,D,T
MI14,S,F,T
MI2,S,F,T
MI24,S,F,T
MI26,L,D,T
MI28,S,F,T
MI34,S,F,P
MI38,S,F,T
MI4,S,F,P
MI6,L,D,T
MI8,S,F,T
MICO,S,F,J
MIDR,S,F,P
MIMP,S,F,P
MIMU,S,F,P
MIR2,S,F,J
MIRA,S,F,J
MITE,S,F,P
MJ10,S,F,P
MJ12,S,F,P
MJ1H,S,F,P
MJ2,S,F,P
MJ3,S,F,P
MJ4,S,F,P
MJ5,S,F,P
MJ53,S,F,P
MJ55,S,F,P
MJ7,S,F,P
MJ77,S,F,P
MJ8,S,F,P
MJ80,S,F,P
MJ9,S,F,P
MJ90,S,F,P
MLER,S,F,P
MM14,S,F,P
MM16,S,F,P
MM19,S,F,P
MM21,S,F,P
MM22,S,F,P
MM24,S,F,P
MMAC,S,F,P
MMAX,S,F,P
MMUT,S,F,P
MNEX,S,F,P
MOCU,S,F,P
MOGO,S,F,P
MOL1,S,F,P
MONA,S,F,P
MONI,S,F,P
MOR2,S,F,P
MOSP,S,F,P
MOSQ,S,F,P
MOTO,S,F,P
MP02,S,F,P
MP20,S,F,P
MQ1,S,F,P
MQ4,L,D,J
MQ9,S,F,T
MR25,S,F,P
MR35,S,F,P
MR3T,S,F,T
MRAI,S,F,P
MRAM,S,F,P
MRF1,S,F,J
MRJ7,L,D,J
MRJ9,L,D,J
MRMD,S,F,P
MRTN,S,F,P
MS1,S,F,P
MS18,S,F,P
MS23,S,F,P
MS25,S,F,P
MS30,S,F,P
MS31,S,F,P
MS73,S,F,P
MS76,S,F,J
MSAI,S,F,P
MSQ2,S,F,P
MT,S,F,P
MT2,S,F,J
MU2,S,F,T
MU23,S,F,P
MU30,S,F,J
MUS2,S,F,P
MVN1,S,F,P
MVRK,S,F,P
MX10,S,F,P
MX1T,S,F,P
MX2,S,F,P
MX65,S,F,P
MX80,S,F,P
MXS,S,F,P
MY12,S,F,P
MY13,S,F,P
MYA4,H,C,J
MYS4,S,F,J
N110,S,F,P
N120,S,F,P
N250,L,D,T
N260,S,F,T
N262,S,F,T
N3,S,F,P
N320,S,F,P
N340,S,F,P
N3N,S,F,P
N5,S,F,P
NA40,S,F,T
NAL2,S,F,P
NAVI,S,F,P
NC85,S,F,P
ND1T,S,F,T
NDAC,S,F,P
NDAT,S,F,P
NDIC,S,F,P
NG4,S,F,P
NG5,S,F,P
NH90,S,F,T
NHCO,S,F,P
NI28,S,F,P
NIBB,S,F,P
NIMB,S,F,P
NIPR,S,F,P
NM5,S,F,P
NMCU,S,F,P
NNJA,S,F,P
NOMA,S,F,T
NORA,L,D,P
NORS,S,F,P
NPOR,S,F,P
NSTR,S,F,P
NT10,S,F,P
NXT,S,F,P
O1,S,F,P
O3,S,F,P
OH1,S,F,T
OKHO,S,F,P
OM1,S,F,P
OMAG,S,F,P
OMGA,S,F,P
OMLA,S,F,T
ONE,S,F,P
ONEX,S,F,P
OPCA,S,F,P
OR10,S,F,P
OR12,S,F,P
OSCR,S,F,P
OUDE,S,F,P
OVOD,S,F,P
OZZI,S,F,P
P06T,S,F,P
P1,L,D,J
P100,S,F,P
P130,S,F,P
P136,S,F,P
P148,S,F,P
P149,S,F,P
P180,S,F,T
P18T,S,F,T
P19,S,F,P
P2,L,D,P
P208,S,F,P
P210,S,F,P
P212,S,F,P
P220,S,F,P
P230,S,F,P
P27,S,F,P
P270,S,F,P
P28A,S,F,P
P28B,S,F,P
P28R,S,F,P
P28S,S,F,P
P28T,S,F,P
P28U,S,F,P
P3,L,D,T
P32R,S,F,P
P32T,S,F,P
P337,S,F,P
P38,S,F,P
P39,S,F,P
P40,S,F,P
P46T,S,F,T
P47,S,F,P
P4Y,L,D,P
P50,S,F,P
P51,S,F,P
P57,S,F,P
P60,S,F,P
P61,S,F,P
P63,S,F,P
P66P,S,F,P
P66T,S,F,T
P68,S,F,P
P68T,S,F,T
P70,S,F,P
P750,S,F,T
P8,L,D,J
P80,S,F,P
P82,S,F,P
PA11,S,F,P
PA12,S,F,P
PA14,S,F,P
PA15,S,F,P
PA16,S,F,P
PA17,S,F,P
PA18,S,F,P
PA20,S,F,P
PA22,S,F,P
PA23,S,F,P
PA24,S,F,P
PA25,S,F,P
PA27,S,F,P
PA30,S,F,P
PA31,S,F,P
PA32,S,F,P
PA34,S,F,P
PA36,S,F,P
PA38,S,F,P
PA44,S,F,P
PA46,S,F,P
PA47,S,F,J
PACE,S,F,P
PAGO,S,F,P
PANT,S,F,P
PAR1,S,F,P
PAR4,S,F,P
PARL,S,F,P
PAT2,S,F,P
PAT4,S,F,T
PAUL,S,F,P
PAV4,S,F,P
PAY1,S,F,T
PAY2,S,F,T
PAY3,S,F,T
PAY4,S,F,T
PC12,S,F,T
PC21,S,F,T
PC24,S,F,J
PC6P,S,F,P
PC6T,S,F,T
PC7,S,F,T
PC9,S,F,T
PCA2,S,F,P
PDIG,S,F,P
PECR,S,F,P
PEGA,S,F,P
PEGZ,S,F,P
PELI,S,F,P
PEMB,S,F,P
PETL,S,F,P
PETR,S,F,P
PGEE,S,F,P
PGK1,S,F,P
PHIL,S,F,P
PHIX,S,F,P
PHNX,S,F,P
PIAT,S,F,P
PICO,S,F,P
PILL,S,F,P
PINO,S,F,P
PIPA,S,F,P
PISI,S,F,P
PITA,S,F,P
PIVI,S,F,P
PK11,S,F,P
PK15,S,F,P
PK18,S,F,P
PK19,S,F,P
PK20,S,F,P
PK21,S,F,P
PK23,S,F,P
PK25,S,F,P
PKAN,S,F,P
PL1,S,F,P
PL12,S,F,P
PL2,S,F,P
PL4,S,F,P
PL9,S,F,P
PLUS,S,F,P
PNR2,S,F,P
PNR3,S,F,P
PNR4,S,F,P
PO2,S,F,P
PO60,S,F,P
POLI,S,F,P
PONY,S,F,P
PP2,S,F,P
PP3,S,F,P
PPRO,S,F,P
PRBP,S,F,P
PRBR,S,F,P
PRCE,S,F,P
PREN,S,F,P
PRET,S,F,P
PREX,S,F,P
PRIM,S,F,P
PRM1,S,F,J
PROC,S,F,P
PROT,S,F,P
PROW,S,F,P
PRPR,S,F,P
PRTS,S,F,J
PRXT,S,F,T
PSTM,S,F,P
PSW4,S,F,T
PT21,S,F,P
PT22,S,F,P
PT70,S,F,P
PT80,S,F,P
PTMS,S,F,P
PTRL,S,F,P
PTS1,S,F,P
PTS2,S,F,P
PTSS,S,F,P
PUL6,S,F,P
PULR,S,F,P
PULS,S,F,P
PUMA,S,F,T
PUP,S,F,P
PURS,S,F,P
PUSH,S,F,P
PW4,S,F,P
PZ01,S,F,P
PZ02,S,F,P
PZ04,S,F,P
PZ05,S,F,P
PZ06,S,F,P
PZ12,S,F,P
PZ26,S,F,P
PZ3T,S,F,T
PZ4M,S,F,P
PZ6T,S,F,T
Q01,S,F,P
Q5,S,F,J
QAIL,S,F,P
QALT,S,F,P
QEST,S,F,P
QIC2,S,F,P
QR01,S,F,P
QUAS,S,F,P
QUIC,S,F,P
R100,S,F,P
R109,S,F,P
R11,S,F,P
R135,H,C,J
R185,S,F,P
R2,S,F,P
R200,S,F,P
R22,S,F,P
R300,S,F,P
R4,S,F,P
R44,S,F,P
R66,S,F,T
R721,L,D,J
R722,L,D,J
R90F,S,F,P
R90R,S,F,P
R90T,S,F,T
RA14,S,F,P
RA17,S,F,P
RAF2,S,F,P
RAID,S,F,P
RAIL,S,F,P
RALL,S,F,P
RANG,S,F,P
RARO,S,F,P
RAV3,S,F,P
RAV5,S,F,P
RAZM,S,F,P
RBEL,S,F,P
RC3,S,F,P
RC70,S,F,P
RD03,S,F,P
RD20,S,F,P
RDH2,S,F,P
RELI,S,F,P
RENE,S,F,P
REV6,S,F,T
RF10,S,F,P
RF3,S,F,P
RF4,S,F,P
RF47,S,F,P
RF5,S,F,P
RF6,S,F,P
RF9,S,F,P
RFAL,L,E,J
RGNT,S,F,P
RJ03,S,F,P
RJ1H,L,E,J
RJ70,L,E,J
RJ85,L,E,J
RK5,S,F,P
RLU1,S,F,P
RMOU,S,F,T
RNGR,S,F,P
RODS,S,F,P
ROND,S,F,P
ROSE,S,F,P
RP1,S,F,T
RPUP,S,F,P
RS12,S,F,P
RS18,S,F,P
RS20,S,F,P
RTA4,S,F,P
RUBI,S,F,P
RV10,S,F,P
RV12,S,F,P
RV14,S,F,P
RV3,S,F,P
RV4,S,F,P
RV4T,S,F,T
RV6,S,F,P
RV7,S,F,P
RV8,S,F,P
RV9,S,F,P
RVAL,S,F,T
RW19,S,F,P
RW20,S,F,P
RW22,S,F,P
RW26,S,F,P
RW3,S,F,P
RYSA,S,F,T
RYST,S,F,P
S05F,S,F,P
S05R,S,F,P
S1,S,F,P
S10,S,F,P
S107,S,F,P
S108,S,F,P
S10S,S,F,P
S11,S,F,P
S12,S,F,P
S122,S,F,P
S12S,S,F,P
S15S,S,F,P
S200,S,F,J
S202,S,F,P
S208,S,F,P
S21,S,F,P
S210,L,D,J
S211,S,F,J
S223,S,F,P
S22T,S,F,P
S274,S,F,T
S278,S,F,T
S285,S,F,T
S2P,S,F,P
S2T,S,F,T
S3,L,E,J
S32M,S,F,P
S330,S,F,T
S360,S,F,T
S37,L,E,J
S38,S,F,P
S39,S,F,P
S4,S,F,P
S400,S,F,P
S434,S,F,T
S45,S,F,P
S450,S,F,P
S51,S,F,P
S51D,S,F,P
S52,S,F,P
S55P,S,F,P
S55T,S,F,T
S58P,S,F,P
S58T,S,F,T
S6,S,F,P
S601,S,F,J
S61,S,F,T
S61R,S,F,T
S62,S,F,T
S64,L,E,T
S65C,S,F,T
S76,S,F,T
S900,S,F,P
S92,S,F,T
S97,S,F,T
SA02,S,F,P
SA03,S,F,P
SA04,S,F,P
SA05,S,F,P
SA10,S,F,P
SA11,S,F,P
SA2,S,F,P
SA20,S,F,P
SA3,S,F,P
SA30,S,F,P
SA37,S,F,P
SA38,S,F,P
SA50,S,F,P
SA6,S,F,P
SA6E,S,F,T
SA7,S,F,P
SA70,S,F,P
SA75,S,F,P
SA8T,S,F,T
SAB2,S,F,P
SABA,S,F,P
SACE,S,F,P
SACR,S,F,P
SAFF,S,F,P
SAH1,S,F,P
SAKO,S,F,P
SALB,S,F,P
SAM,S,F,P
SAND,L,D,P
SAPH,S,F,P
SASH,S,F,P
SASP,S,F,P
SASY,S,F,P
SATA,S,F,J
SAVA,S,F,P
SAVG,S,F,P
SB05,S,F,J
SB20,L,E,T
SB29,S,F,J
SB32,S,F,J
SB35,S,F,J
SB37,L,E,J
SB39,S,F,J
SB7,S,F,P
SB91,S,F,P
SBD,S,F,P
SBLS,S,F,P
SBM3,S,F,P
SBOY,S,F,P
SBR1,S,F,J
SBR2,S,F,J
SC01,S,F,P
SC7,S,F,T
SCAM,S,F,P
SCEP,S,F,P
SCII,S,F,P
SCOM,S,F,P
SCOR,S,F,P
SCOU,S,F,T
SCRO,S,F,P
SCTR,S,F,P
SCUB,S,F,P
SCW1,S,F,P
SD26,S,F,P
SD4,S,F,P
SDUS,S,F,P
SE5A,S,F,P
SE5R,S,F,P
SEAT,S,F,T
SEAW,S,F,P
SERA,S,F,P
SEST,S,F,T
SF2,S,F,P
SF23,S,F,P
SF24,S,F,P
SF25,S,F,P
SF27,S,F,P
SF28,S,F,P
SF31,S,F,P
SF32,S,F,P
SF34,L,E,T
SF35,S,F,P
SF36,S,F,P
SF50,S,F,J
SG37,S,F,P
SG70,S,F,P
SG92,S,F,T
SGRA,S,F,P
SGUP,L,D,T
SH33,S,F,T
SH36,S,F,T
SH4,S,F,P
SH5,L,D,T
SHAC,L,D,P
SHAK,S,F,P
SHAW,S,F,J
SHEA,S,F,P
SHEK,S,F,P
SHER,S,F,P
SHOE,S,F,P
SHOP,S,F,P
SHOR,S,F,P
SHRK,S,F,P
SHRT,S,F,T
SIDE,S,F,P
SIGM,S,F,P
SILH,S,F,P
SIR2,S,F,P
SIRA,S,F,P
SJ30,S,F,J
SJET,S,F,J
SK10,S,F,P
SK70,S,F,P
SKAR,S,F,P
SKIF,S,F,P
SKIM,S,F,P
SKRA,S,F,P
SKYC,S,F,P
SKYO,S,F,P
SKYR,S,F,P
SL1,S,F,P
SL39,S,F,P
SL90,S,F,P
SLG2,S,F,P
SLG4,S,F,P
SLK3,S,F,P
SLK5,S,F,P
SM01,S,F,P
SM19,S,F,T
SM20,S,F,T
SM60,S,F,P
SM92,S,F,P
SMAX,S,F,P
SMB2,S,F,J
SNAD,S,F,P
SNAP,S,F,P
SNGY,S,F,P
SNOS,S,F,P
SNS2,S,F,P
SNS7,S,F,P
SNS9,S,F,P
SNTA,S,F,P
SOK2,S,F,P
SOKL,S,F,P
SOLI,S,F,P
SONX,S,F,P
SORA,S,F,P
SP20,S,F,P
SP33,S,F,J
SP55,S,F,P
SP6E,S,F,P
SP7,S,F,P
SP91,S,F,P
SP95,S,F,P
SPA2,S,F,P
SPAR,S,F,P
SPC2,S,F,P
SPDR,S,F,P
SPEL,S,F,P
SPGY,S,F,P
SPHA,S,F,P
SPIR,S,F,P
SPIT,S,F,P
SPOR,S,F,P
SPR2,S,F,P
SPRT,S,F,P
SPST,S,F,P
SPUP,S,F,P
SQ2T,S,F,P
SQES,S,F,P
SR01,S,F,P
SR20,S,F,P
SR22,S,F,P
SR71,L,E,J
SRAC,S,F,P
SRAI,S,F,P
SRAS,S,F,P
SRAY,S,F,P
SREY,S,F,P
SS2P,S,F,P
SS2T,S,F,T
SSAB,S,F,J
SSC,S,F,P
SSTM,S,F,P
ST1,S,F,P
ST10,S,F,P
ST3,S,F,P
ST30,S,F,P
ST4,S,F,P
ST50,S,F,T
ST6,S,F,P
ST60,S,F,P
ST75,S,F,P
ST87,S,F,P
STAL,S,F,P
STAR,S,F,T
STAT,S,F,T
STCH,S,F,P
STFF,S,F,P
STIL,S,F,P
STLN,S,F,T
STOR,S,F,P
STR2,S,F,P
STRA,S,F,P
STRE,S,F,P
STRI,S,F,P
STRK,S,F,J
STRM,S,F,P
STST,S,F,P
SU15,S,F,J
SU17,L,E,J
SU24,L,E,J
SU25,L,E,J
SU26,S,F,P
SU27,L,E,J
SU29,S,F,P
SU31,S,F,P
SU38,S,F,P
SU7,S,F,J
SU80,S,F,T
SU95,L,D,J
SUBA,S,F,P
SUCO,S,F,T
SUNB,S,F,P
SUNV,S,F,P
SURN,S,F,T
SURU,S,F,P
SUSO,S,F,P
SV4,S,F,P
SVNH,S,F,P
SW18,S,F,P
SW2,S,F,T
SW3,S,F,T
SW4,S,F,T
SWAK,S,F,P
SWAT,S,F,P
SWIF,S,F,J
SWIN,S,F,P
SWOR,S,F,P
SX30,S,F,P
SYCA,S,F,P
SYMP,S,F,P
SYNC,S,F,P
SZ45,S,F,P
SZ9M,S,F,P
T1,S,F,J
T10,S,F,P
T101,S,F,T
T134,L,D,J
T144,H,C,J
T154,L,D,J
T160,H,B,J
T18,S,F,P
T19,S,F,P
T2,S,F,J
T204,L,D,J
T206,S,F,P
T210,S,F,P
T211,S,F,P
T22M,L,D,J
T250,S,F,P
T28,S,F,P
T30,S,F,P
T33,L,F,J
T334,L,D,J
T34P,S,F,P
T34T,S,F,T
T35,S,F,P
T37,S,F,J
T38,S,F,J
T4,S,F,J
T40,S,F,P
T411,S,F,P
T415,S,F,P
T419,S,F,P
T5,S,F,T
T50,S,F,P
T50S,L,E,J
T51,S,F,P
T6,S,F,P
T7,S,F,T
TA15,S,F,P
TA16,S,F,P
TA20,S,F,P
TAA1,S,F,P
TAGO,S,F,P
TAIL,S,F,P
TAMP,S,F,P
TARO,S,F,P
TARR,S,F,P
TAYA,S,F,P
TAYB,S,F,P
TAYD,S,F,P
TB05,S,F,P
TB20,S,F,P
TB21,S,F,P
TB30,S,F,P
TB31,S,F,T
TBEE,S,F,P
TBM,S,F,P
TBM7,S,F,T
TBM8,S,F,T
TBM9,S,F,T
TBR3,S,F,P
TC2,S,F,P
TCAT,S,F,P
TCOU,S,F,P
TD1,S,F,P
TD2,S,F,T
TD3,S,F,P
TEAL,S,F,P
TERM,S,F,P
TERR,S,F,P
TEX2,S,F,T
TEXA,S,F,P
TF19,S,F,P
TF21,S,F,P
TF22,S,F,P
TFK2,S,F,P
TFOC,S,F,P
TFUN,S,F,P
TGRS,S,F,P
TIGR,S,F,T
TIJU,S,F,P
TIPB,S,F,P
TJET,S,F,J
TL20,S,F,P
TL30,S,F,P
TLEG,S,F,T
TM5,S,F,P
TMOT,S,F,P
TMUS,S,F,P
TNAV,S,F,P
TNDR,S,F,P
TOBA,S,F,P
TOOT,S,F,P
TOR,L,E,J
TOUR,S,F,P
TOXO,S,F,P
TP40,S,F,P
TPIL,S,F,T
TPIN,S,F,P
TR1,S,F,P
TR20,S,F,P
TR26,S,F,P
TR55,S,F,P
TRAL,S,F,P
TRAP,S,F,P
TRBA,S,F,P
TRDO,S,F,P
TRF1,S,F,P
TRIM,S,F,P
TRIS,S,F,P
TRMA,S,F,P
TRWN,S,F,P
TS11,S,F,J
TS14,S,F,P
TS1J,S,F,J
TS8,S,F,P
TSPT,S,F,P
TSTN,S,F,P
TSTR,S,F,P
TT62,S,F,P
TTRS,S,F,P
TTWO,S,F,P
TU16,L,D,J
TU22,L,D,J
TU4,L,D,T
TU95,H,C,T
TUCA,S,F,T
TUL3,S,F,P
TUTR,S,F,P
TVL4,S,F,P
TVLB,S,F,P
TWEN,S,F,P
TWIR,S,F,P
TWSP,S,F,P
TWST,S,F,P
TZRV,S,F,J
U15,S,F,P
U16,S,F,P
U2,S,F,J
U21,S,F,T
U22,S,F,P
UBAT,S,F,P
UF10,S,F,P
UF13,S,F,P
UFHT,S,F,P
UH1,S,F,T
UH12,S,F,P
UH1Y,S,F,T
UL10,S,F,P
UL20,S,F,P
UL2F,S,F,P
UL45,S,F,P
ULPA,S,F,P
ULTS,S,F,P
UM18,S,F,P
UNIV,S,F,P
URRA,S,F,P
US1,L,D,T
US2,L,D,T
UT60,S,F,P
UT65,S,F,P
UT66,S,F,P
UT75,S,F,P
UU12,S,F,P
V1,S,F,T
V10,S,F,T
V22,L,E,T
V252,S,F,P
V322,S,F,P
V351,S,F,P
V452,S,F,T
V500,S,F,P
V8SP,S,F,P
VALI,S,F,P
VAMP,S,F,J
VANT,S,F,J
VAUT,L,E,J
VELO,S,F,P
VELT,S,F,P
VENT,S,F,P
VEZE,S,F,P
VF14,L,E,J
VF2,S,F,P
VF35,L,E,J
VF60,S,F,T
VG3T,S,F,P
VGUL,S,F,P
VIMA,S,F,P
VIMY,S,F,P
VIPJ,S,F,J
VIPR,S,F,P
VISI,S,F,P
VIVA,S,F,P
VIX,S,F,P
VIXN,S,F,P
VJ22,S,F,P
VK3P,S,F,P
VL3,S,F,P
VM1,S,F,P
VMT,H,C,J
VNOM,S,F,J
VNTR,S,F,P
VO10,S,F,P
VOL2,S,F,P
VP2,S,F,P
VR20,S,F,P
VSON,S,F,P
VTOR,S,F,T
VTRA,S,F,P
VTUR,S,F,P
VUT1,S,F,P
VVIG,S,F,P
VW10,S,F,P
VWIT,S,F,P
W11,S,F,P
W201,S,F,P
W3,S,F,T
W62T,S,F,T
WA40,S,F,P
WA41,S,F,P
WA42,S,F,P
WA50,S,F,P
WA80,S,F,P
WAC9,S,F,P
WACA,S,F,P
WACC,S,F,P
WACD,S,F,P
WACE,S,F,P
WACF,S,F,P
WACG,S,F,P
WACM,S,F,P
WACN,S,F,P
WACO,S,F,P
WACT,S,F,P
WAIX,S,F,P
WASP,S,F,T
WB57,L,E,J
WBOO,S,F,P
WCAT,S,F,P
WDEX,S,F,P
WESX,S,F,T
WF4U,S,F,P
WFOC,S,F,P
WFUR,S,F,P
WG30,S,F,T
WH1,S,F,P
WHAT,S,F,P
WHIL,S,F,P
WHIS,S,F,P
WHIT,S,F,P
WHK2,L,D,J
WHKN,S,F,J
WICH,S,F,P
WILT,S,F,P
WIND,S,F,P
WINE,S,F,P
WIRR,S,F,P
WISP,S,F,P
WM2,S,F,P
WOPU,S,F,P
WP40,S,F,P
WP47,S,F,P
WS22,S,F,P
WSP,S,F,P
WT9,S,F,P
WUSH,S,F,P
WW1,S,F,P
WW23,S,F,J
WW24,S,F,J
WZ10,S,F,T
WZER,S,F,P
X2,S,F,T
X29,S,F,J
X3,S,F,T
X32,L,E,J
X4,S,F,P
X49,S,F,T
X55,S,F,J
XA41,S,F,P
XA42,S,F,P
XA85,S,F,P
XAIR,S,F,P
XL2,S,F,P
XNON,S,F,P
XNOS,S,F,P
XV15,S,F,T
Y11,S,F,P
Y112,S,F,P
Y12,S,F,T
Y12F,S,F,T
Y130,S,F,J
Y141,L,E,J
Y18T,S,F,P
YAK3,S,F,P
YAK9,S,F,P
YALE,S,F,P
YARR,S,F,P
YAST,S,F,P
YC12,S,F,P
YK11,S,F,P
YK12,S,F,P
YK18,S,F,P
YK28,L,E,J
YK30,S,F,J
YK38,S,F,J
YK40,S,F,J
YK42,L,D,J
YK50,S,F,P
YK52,S,F,P
YK53,S,F,P
YK54,S,F,P
YK55,S,F,P
YK58,S,F,P
YL15,S,F,P
YNHL,S,F,P
YS11,L,D,T
YUNO,S,F,P
YURO,S,F,J
Z22,S,F,P
Z26,S,F,P
Z37P,S,F,P
Z37T,S,F,T
Z42,S,F,P
Z43,S,F,P
Z50,S,F,P
ZA6,S,F,P
ZEP2,S,F,P
ZEPH,S,F,P
ZERO,S,F,P
ZIA,S,F,P
ZIU,S,F,P
ZULU,S,F,P
18,S,F,P
1B,H,C,J
32B,L,D,J
738,L,D,J
A10A,L,E,J
A300,H,C,J
A329,H,B,J
A330,H,B,J
A331,H,B,J
A340,H,B,J
A350,H,B,J
A380,J,A,J
AA2,S,F,P
AA5A,S,F,P
AA5B,S,F,P
AC12,S,F,P
AC14,S,F,P
AC20,S,F,P
AC21,S,F,P
AC2A,S,F,T
AC69,S,F,T
AC6T,S,F,T
AJ25,S,F,J
ALOR,L,D,J
AP25,L,D,T
AP45,L,D,T
AP52,L,D,T
AR58,S,F,P
AT41,L,E,T
AT42,L,E,T
AU24,S,F,T
AV23,S,F,T
AV8,L,E,J
B07H,H,C,J
B1B,H,C,J
B32,S,F,T
B707,L,D,J
B717,L,D,J
B727,L,D,J
B72Q,L,D,J
B731,L,D,J
B73A,L,D,J
B73B,L,D,J
B73C,L,D,J
B73F,L,D,J
B73Q,L,D,J
B73S,L,D,J
B73V,L,D,J
B747,H,B,J
B74A,H,B,J
B74B,H,B,J
B74F,H,B,J
B75,S,F,P
B757,5,D,J
B767,H,C,J
B777,H,B,J
B787,H,B,J
B99,S,F,T
BA31,S,F,T
BA32,S,F,T
BA41,S,F,T
BA46,L,E,J
BATP,L,D,T
BE02,S,F,T
BE1B,S,F,T
BE2H,S,F,T
BE3B,S,F,T
BE3L,S,F,T
BE8S,S,F,P
BE90,S,F,T
BE9F,S,F,T
BEST,S,F,T
BJ40,S,F,J
BL14,S,F,P
BL26,S,F,P
BL28,S,F,P
BL30,S,F,P
BL31,S,F,P
BN2,S,F,P
BN3,S,F,P
BO31,S,F,J
BT10,S,F,P
BT6S,S,F,P
C117,S,F,P
C118,L,D,P
C12,S,F,T
C131,L,D,P
C14,S,F,P
C20,L,E,J
C21,S,F,J
C22,L,D,J
C305,S,F,P
C401,S,F,P
C406,S,F,T
C435,S,F,T
C45,S,F,P
C47,S,F,P
C54,L,D,P
C552,S,F,J
C5A,H,B,J
C660,S,F,J
C7,S,F,P
C8,L,D,T
C9,L,E,J
CA21,S,F,T
CARJ,L,E,J
CH47,L,E,T
CH5,S,F,P
CH8,S,F,P
CH9,S,F,P
CIA1,S,F,P
CL61,L,E,J
CL64,L,E,J
CL65,L,E,J
CM11,S,F,P
CM48,S,F,P
COMT,S,F,P
CS12,S,F,T
CUB,S,F,P
CV13,S,F,P
CV14,S,F,P
CV24,L,D,P
CV34,L,D,P
CV44,L,D,P
CV58,L,D,T
CV60,L,D,T
CV64,L,D,T
CW20,L,D,P
DA02,S,F,J
